session,date,mode,lab,readings,assignments
1,Aug 26,in class,"Stencils/Spray Paint, Stickers,Portfolios",,
2,Sep 2,asynchronous,,Martinez & Stager; Blikstein,
3,Sep 9,in class,"Collage",,
4,Sep 16,asynchronous,,Fishman; Lathwesen,Site Check
5,Sep 23,in class,3D Design & Printing,,Notebook 1
6,Sep 30,asynchronous,,Freire,"Collage, Portfolio 1"
7,Oct 7,in class,Micro-electronics,,
8,Oct 14,asynchronous,,Delpit,Participation 1
9,Oct 21,in class,Escape Room Design,,
10,Oct 28,asynchronous,,Noddings; Ladson-Billing,Notebook 2
11,Nov 4,in class,Laser Cutting/Engraving,,
12,Nov 11,asynchronous,,Greene,
13,Nov 18,in class,Studio,,
14,Nov 25,asynchronous,,Cipolla,
15,Dec 2,in class,Testing/Trials,,Notebook 3
16,Dec 7,Final STEAM Conference,Show,,
-,Dec 9,asynchronous,,,"Final Portfolio, Participation 2"
